company,ticker,score,grade,fraud_prob,market_confidence,news_risk,flagged_correctly,expected
Wirecard AG,WDI.DE,58.16,C,0.0919,0.0117,0.6425,False,"FAILURE — Accounting fraud, €1.9B missing"
Silicon Valley Bank,SIVB,23.97,D,0.15,0.0014,0.5649,True,FAILURE — Bank run + unrealised bond losses
Enron Corporation,ENRNQ,13.16,F,0.1284,0.0058,0.49,True,FAILURE — Systematic accounting fraud via SPEs
